Text,Retweet count,Favorite count
"b""He is a Freemason &amp; half British and ISIS was training there in Jordan, they don't care about holy sites or Syria,\xe2\x80\xa6 https://t.co/BBby3Wi5w8""",0,0
b'@isismls Omg. Isis sos voz?\nQue paso donde esta mi amiga que hicieron con ella??? \xf0\x9f\x98\xa2\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad',0,0
b'Syrian Journalist Reveals How The US Is Working With ISIS Behind The Scenes https://t.co/JJudKRyU2a via @YouTube',0,0
b'kuingin suudzan..\ntapi ndak boleh. tapi udah suudzan..\ndulu usaha buat pergi sana gimana? siapa yg nyuruh? siapa yg\xe2\x80\xa6 https://t.co/XYLbJaeHF8',0,0
b'Isa - todo mundo do col\xc3\xa9gio\nbelle/bella/bellinha - fam\xc3\xadlia toda e amigos de inf\xc3\xa2ncia \nIsabelle - meus pais bravos c\xe2\x80\xa6 https://t.co/QFKJx50loi',0,0
"b""#Muslim:  #Syria #ISIS  #IS 'Nothing to do with Islam?' by Peter Townsend. Get your copy today! https://t.co/CSCmIietxA""",0,0
b'Kok pulang?? Nambah2 sampah aja di  Indonesia',0,0
b'y tanto  los   asesinos   de la secta   criminal  isis     islam  sectario     terrorista',0,0
"b""@boghche Evil cult MUSLIM lady ....wonder why she doesn't talk or interviews with US media....she get $$$ from Moha\xe2\x80\xa6 https://t.co/A3eNMFwBKS""",0,0
"b'Pulangin kesini deh, tembak mati abis itu. Pengkhianat negara.'",0,0
b'@adrasteiaa_ @tubirfess Lah\nKan\nSebenernya\nTujuan\nISIS\nAdalah\nMau\nBikin\nNegara\nSendiri\n\nTapi\nMasalahnya\nGak ada\nNeg\xe2\x80\xa6 https://t.co/gpk64trRQN',0,0
b'\xd8\xa7\xd9\x84\xd9\x84\xd9\x87 \xd9\x8a\xd9\x87\xd8\xaf\xd9\x91\xd9\x8a\xd9\x83 \xd9\x8a\xd8\xa7 \xd8\xa7\xd8\xb3\xd8\xb1\xd8\xa7\xd8\xa1\xd9\x8a\xd9\x84',0,0
"b'Bandung,'",0,0
"b'@greatawakecoach @goldendoekd Ooops, I hope he used a VPN. \nI was thinking of tweeting pics of pork chops to ISIS T\xe2\x80\xa6 https://t.co/UiNO9B44F7'",0,0
b'Isis t\xc3\xa1 fazendo reda\xc3\xa7\xc3\xa3o de geografia pra mim \xe2\x9d\xa4',0,0
"b'@tubirfess Bahaya kalo dipulangin, karna pemikiran radikalnya masih ada di benak simpatisan isis, sebenarnya walaup\xe2\x80\xa6 https://t.co/nP4jxnu5cm'",0,0
"b'In a Syrian camp for ISIS supporters, a Belgian vows she made a huge mistake - The National #ISISWomen  https://t.co/Xxd60wVwMM'",0,0
b'Agree!',0,0
"b'Here comes a new Terrorist group. Attacks are same, funding pattern is similar, just attackers are different. Just\xe2\x80\xa6 https://t.co/HBghAXDNT9'",0,0
b'I bet Australia feels much better without that leech\nhttps://t.co/H9cp5o8tcb\n\nAustralian ISIS bride refuses to retu\xe2\x80\xa6 https://t.co/wi81FfV7rT',0,0
b'isis: todo mundo.',0,0
b'@daveweigel If the Democrats had a pre- me too moment of clarity and impeached Bill Clinton..\n\n\xe2\x80\xa2Al Gore runs as an\xe2\x80\xa6 https://t.co/uYgnu2E2na',0,0
b'Targeted #ISIS accounts\nhttps://t.co/Zr9qO5ktAF\nhttps://t.co/UTatLgkRs1\nhttps://t.co/rKYnb6y4NE\n#targets #iceisis #opiceisis',0,0
